Id,SalePrice
2658,136716.60112254746
2718,202042.0512525798
2414,184332.19978167544
1989,113099.56254446306
625,167518.8699306624
333,93751.30754288202
1327,98708.33138297012
858,150640.58726985255
95,203692.38727922243
1568,168809.14634021226
2482,170340.39490172398
1364,114304.00151100021
2584,154198.09987161434
818,284120.02200455416
2673,157992.05063003485
2089,104464.5247513497
1297,144688.67026662634
790,101490.28600552952
2616,175536.93255023818
720,185332.44779937237
222,131972.8480163347
557,115631.32640752857
1148,209239.97277714912
2766,140138.90548570818
534,179583.64609663875
1452,110626.98931964596
630,131879.8235506845
2648,135086.9226799654
125,131909.78950761157
1904,78289.42900139042
1670,97516.40545835614
756,105423.92671236242
717,243844.19078861023
1032,156351.5238266891
852,215819.41491361757
1731,169382.05823416312
2639,114591.37720403215
2071,86952.27177933347
1267,102842.56299479736
1851,205719.45796590063
567,156224.9724099472
2439,219364.61310549252
1898,137750.06663813064
647,140933.37081224943
2256,221870.36932236992
979,111429.51764088469
1444,212445.33882394547
2485,113581.4498295418
157,107833.49219855509
88,120652.40457892205
2003,111643.74672302851
186,186878.97024290776
1425,255597.39141311817
2695,126308.04132509988
738,110439.2353499519
395,133062.0874974863
1353,168789.76296272836
1878,128527.28152323465
390,160619.1995192266
1456,229516.56343948346
1103,305559.7805964836
1387,136695.252595881
2070,137905.87342832645
1199,176611.86516899988
2479,177104.179179715
501,318394.073424773
2362,92518.55722316324
1718,193908.92770023466
2188,72686.63178910743
1483,143825.24605823756
2557,92487.86849307711
437,359637.63812564895
2224,216711.89575434782
1628,172506.73435971895
397,117726.44253594796
587,201017.94082288072
971,127699.16299127397
2611,129531.96635810123
1887,89757.8493190445
2399,345657.26884493144
2148,212494.82307008095
304,114587.23229457182
1997,122860.00743963066
2817,114511.88843790693
1431,171970.29451713862
427,363031.93911467795
263,116959.56819922208
598,168296.88872527226
2895,238251.27262344665
687,143889.70415549492
1822,123379.74752839797
2191,93666.22342016734
179,113134.08216272558
1009,219286.80769157456
2010,122375.43289208235
1991,134050.41765492415
1411,155851.97318679903
1721,245449.9949068797
1144,183400.27899300406
593,203306.77751374728
575,213716.92834383936
1249,167650.2119870164
1604,117106.57971404649
1064,496427.50509231864
1923,142780.8056390638
1988,94848.09530623848
2325,170902.93565697747
114,197902.20358957234
2700,201822.1164167951
217,145679.01065621898
343,159690.5691292504
386,248935.01346445442
2005,105935.97279557915
2908,133157.20709680463
1814,210941.64130051763
2446,492404.34636384016
208,137710.931161604
1679,120233.402601522
822,324871.0667275764
6,175444.74508447875
1781,406019.61633760284
2397,276828.8194490918
2340,301603.3263833256
1618,158483.82033981517
2843,160788.55865728634
1061,358314.1560173335
2786,110626.98931964596
1935,116923.94093824236
1341,119792.6456100524
521,276480.90586616483
2136,139187.8323511434
996,181664.87411227185
227,146032.66037920635
135,135672.8778407855
1167,166582.05240338686
294,258902.74571013852
1776,207693.68774553615
540,169618.70722624857
1717,193908.92770023466
2303,115998.69266103659
116,166640.29101842365
127,121041.37747268149
1371,132602.86888715083
1014,185863.29471637323
1507,77912.04489228332
702,141198.60052850854
750,148256.6692277607
261,143590.36056685008
1559,87502.0259563777
577,183102.22502423535
2812,199474.6951175815
2080,138893.80001411578
1368,110992.1605729959
2376,109766.78020540535
659,102333.46976005753
1235,116501.33533263273
332,98496.96167212329
1917,119475.96434705766
2094,258546.69459748612
1460,261246.62638018007
1471,196327.72499380435
1509,101122.57259673576
1922,114241.55089803322
433,525509.829131657
460,282779.5901323124
1116,260252.2079317808
1137,156569.57166837063
53,174047.80270243896
2354,261108.93232694987
1475,204678.6406215695
1761,638273.3911605623
842,131493.84051038965
2739,178682.62460992482
2509,162822.15788788133
1007,211181.05623731567
2610,170128.31351736296
1952,95820.19726532366
2719,188664.72745388176
2921,93751.30754288202
1966,124315.94616659246
292,135786.28793539922
1204,190684.34143923642
1829,191666.7885245285
2419,181050.33647597858
391,164524.4841389131
798,104576.61762193026
481,189158.94095698927
193,205976.87631770544
555,122966.84840743811
899,64672.89191153276
2357,183032.56096902184
328,102569.07989177314
1356,105004.1397690876
1154,115503.17154557041
1730,179202.19092712962
2249,141354.93148278433
1119,253740.2392575308
2856,117837.98305126789
