Id,SalePrice
2658,123716.60918351621
2718,147924.918736661
2414,178079.14304419374
1989,119954.3868799412
625,175814.06392380776
333,93515.45723904154
1327,104298.32457356983
858,148818.97449746385
95,203695.0205055515
1568,179715.98737938076
2482,161886.83226495597
1364,114249.82601546109
2584,170121.3981080432
818,274733.89533406775
2673,152512.25834766537
2089,116870.5813280681
1297,139547.64329937744
790,113327.25347896587
2616,179765.56588027193
720,195737.51153232195
222,145743.01954759055
557,123967.83806351475
1148,202854.29434714813
2766,125646.0722683256
534,185856.9412386622
1452,123513.34634747298
630,133806.01930714416
2648,122482.93060312394
125,150447.81232981777
1904,79121.43780261233
1670,120146.69433037541
756,93767.46825308682
717,294356.48759863165
1032,171290.48305255102
852,222301.09806495474
1731,165216.07179826451
2639,102263.76296696234
2071,90025.67092211524
1267,112220.49472496839
1851,202535.22015324922
567,157270.99628988176
2439,217856.8188107487
1898,152290.4580622617
647,144930.27942454728
2256,226550.99870214178
979,109508.25915226553
1444,211791.84930820993
2485,119607.9230309432
157,124807.68300985006
88,129978.8036553875
2003,113282.31840819168
186,203178.78591312503
1425,271010.5662817763
2695,126171.38572089518
738,106319.88395350226
395,153017.00777492783
1353,155819.9675216018
1878,145523.590894975
390,164905.39605399757
1456,237357.4726289393
1103,328035.74400768115
1387,121588.26329530193
2070,143044.59195230057
1199,167175.78732079867
2479,173810.05915895692
501,335137.465657659
2362,117577.04540103581
1718,176657.78363485434
2188,92514.32682320489
1483,147740.37482325814
2557,94165.90647810105
437,368115.2537497992
2224,220110.3105774126
1628,176522.3230806875
397,134076.38831974106
587,201180.00674547238
971,113980.12925830173
2611,142594.3167190826
1887,104231.89264757275
2399,364963.057735054
2148,216020.78076297266
304,104353.82433448739
1997,109208.55648441003
2817,109504.2929786728
1431,155686.5777136357
427,400197.35025968275
263,130820.3837081167
598,164031.51871214682
2895,249818.92081824824
687,143558.36416507448
1822,133283.4205976848
2191,95688.37659359051
179,122029.72077870846
1009,213735.2994012161
2010,125250.30303728106
1991,127637.72866018304
1411,152982.62332185826
1721,236408.3809916334
1144,182536.57238949838
593,177130.73768377883
575,332857.27261825243
1249,174442.1530845964
1604,130868.69089023088
1064,501767.8339996302
1923,154635.93030592485
1988,99287.04100860226
2325,168487.4798356899
114,200676.1153185388
2700,156231.11949257847
217,119454.73864956762
343,178471.0633088665
386,249734.35480620616
2005,79269.01883178487
2908,140726.3747988411
1814,206689.3942189442
2446,557751.7781155661
208,139820.51080173193
1679,123112.27402944196
822,338613.90285756835
6,174739.3405010724
1781,401671.8916888734
2397,253958.05121431622
2340,334422.8835547698
1618,162426.6662338226
2843,172278.90062580348
1061,353226.2513588105
2786,123513.34634747298
1935,135703.67905692823
1341,107706.42265730703
521,252549.5516893029
2136,149777.57496740285
996,180798.84003943304
227,137366.63666769976
135,160115.7279354436
